Y;X
25461;27.3
28972;27.02
30814;24.82
29799;23.98
28900;23.82
28218;23.78
29732;24
28397;24.9
24886;28.2
37937;26.76
36254;27.62
25743;25.96
26990;25.52
31825;25.96
25724;25.86
29938;26.5
37690;28.86
30524;28.26
29265;28.22
35127;27.68
29130;25.32
25795;21.74
21784;21.04
28348;23.12
31088;24.4
21520;22.4
29972;23.6
22603;25.68
22696;25
26845;22.8
27030;21.64
32057;24.16
24097;22.48
31655;23.16
24738;22.12
19950;20.28
22821;21.06
28893;21.86
29926;22.76
24062;24
21137;23.92
26805;25.38
26389;27.66
24219;25.54
30231;24.32
24968;22.9
25343;21.6
17399;22.76
21392;22.22
22922;23.92
24567;24.72
30943;25.2
30825;24.44
25692;25.4
26959;24.3
25366;22.24
22784;24.1
26241;24.64
26467;22.4
27475;21.26
28749;22.16
24146;23.16
22988;23.68
30300;24.42
22654;22.6
29090;21.92
24619;22.2
20016;21.36
23042;23.12
22933;22.88
22409;22.26
21281;22.34
28844;22.88
32872;22.08
20903;21.92
26275;21.92
20167;21.24
23628;21.78
24213;21.64
28631;20.88
25855;19.7
21406;19.88
21617;20.98
22401;21.56
27989;22.98
24974;23.32
29760;23.28
26116;22.14
25850;22.5
24925;23.14
21979;22.52
22116;20.92
24867;21.02
33450;22.36
32713;22.82
22356;21.36
21004;17.38
23362;18.68
20298;19.4
24862;20.46
30505;21.74
25070;19.92
22620;20.88
22001;21.7
23469;21.94
21735;21.26
21593;21.42
33822;23.36
28028;22.5
24304;24
31108;22.52
19113;20.06
23198;21.2
24388;22.52
27420;19.18
30479;19.04
21838;19.82
20812;20.26
19761;18.66
20452;16.22
17939;17.34
25272;19.26
28049;21.04
25317;19.96
21826;18.14
20680;17.76
19143;17.8
18146;16.14
25489;18.04
23537;16.94
16956;17.86
19052;17.12
17287;16.34
20300;16.72
20538;16.84
23702;17.18
28411;18.26
21073;18.6
24215;18.64
19525;18.74
20786;19.46
20429;20.26
27250;19.94
31387;21.8
26075;22.06
22162;21.28
24258;22.94
24683;18.56
21245;17.68
25937;17.52
26081;16.28
16228;16.28
20106;16.04
21055;17.94
22772;18.36
25142;18.32
31129;19.66
30498;20.62
26150;20.86
21327;20.32
22008;20.54
24615;22.72
22375;18.8
29607;21.1
32983;22.76
19119;16.02
21029;14.82
23898;19.8
24534;19.88
16748;14.66
23055;15.82
28857;17.32
23022;18.54
27146;19.02
17241;14.54
19463;14.72
21860;15.26
24227;15.34
27594;15.48
24863;17.2
20161;19.36
20824;17.78
19727;17.2
14940;17.52
24632;14.94
21294;12.9
18448;15.78
21237;16.8
19849;17.02
20740;17.54
25698;19.24
26691;17.46
33298;20.32
25640;22.06
23937;23.3
28742;20.18
21748;19.88
22032;19.14
24827;20.2
32473;19.98
20620;20.56
21825;16.72
14343;14.52
19029;17.02
21104;18.46
20738;15.9
25233;16.82
18975;16.6
19640;16.46
22522;16.2
24227;16.76
24726;19.24
32467;19.78
31663;20.1
25867;21.16
27724;21.04
22039;20.96
26127;21.06
26580;22.08
31310;21.16
33517;19.62
23181;21.2
24183;19.6
24594;20.12
22610;20.42
25479;20.86
29621;21.44
26272;20.56
22541;21.58
23070;21.3
26021;20.74
17655;16.2
23243;16.84
30177;18.08
27518;20.22
23210;16.98
21092;16.98
23357;18.92
17888;16.1
22217;16.28
31681;18.46
31833;22.52
28441;24.54
22389;21.44
20681;16.1
24222;19.3
19345;16.66
21827;16.12
23566;16.48
20227;18.72
17075;17.08
16977;18.82
21525;18.92
21454;16.88
21814;14
21252;14.18
20464;16.46
30775;21.18
25343;25.24
33930;27.26
26311;28.06
31836;28
34695;23.6
29829;24.72
26362;25.7
32589;26.14
30345;28.3
29411;23.24
29637;20.58
32184;22.3
17731;21.22
24114;21.8
28034;21.52
22664;20.96
27488;24.74
24876;20.28
24862;18.6
24679;17.36
22304;18.26
30329;24.5
33182;26.56
23849;24.52
33330;23.06
34496;22.48
26249;22.76
26523;21.4
26793;23.62
35861;28.12
27387;26.24
32666;21.22
22199;16.76
24000;19.86
27871;26.3
31139;24.62
23065;19.9
26594;20.5
27657;17.94
26594;17.64
28084;20.86
27582;22
24862;20.42
22634;20.56
31649;23.86
35781;23.18
24429;20.22
20648;21.82
22741;21.86
21479;21.52
23134;21.8
20575;19.76
24330;18.3
28610;20.24
28456;22.98
27964;23.72
29569;26.2
29267;23.78
28647;22.78
26836;25.06
29386;23.06
24609;21.16
26964;21.76
23614;25.5
22960;26.16
20332;23.28
30392;19.44
31933;22.26
21662;20.8
21689;21.36
25119;21.26
25285;22.28
28979;22.28
34382;23.7
30617;22.38
20238;19.1
24529;20.1
30471;22.1
28405;22.44
29513;22.76
32451;24.8
32780;23.12
23375;20.04
27713;21.7
27137;23.96
22933;24
30740;24.04
29579;23.92
29188;24.54
28131;26.28
28617;25.66
21062;22.04
24337;23.32
27042;26.42
32536;23.74
30127;22.84
24834;23.12
26828;24.6
26468;27.46
31572;24.72
26308;23.58
21955;23.34
32307;24
26095;22.64
22309;21.68
20467;21.38
22446;24.76
